Count_SA,Count_MF,Count_CC,Count_CL,Log_ActBal_CA,Log_ActBal_SA,Log_ActBal_MF,Log_ActBal_CC,Log_ActBal_CL,Log_ActBal_OVD,Log_VolumeCred_CA,Log_TransactionsDebCash_Card,Log_TransactionsDebCashless_Card,Log_TransactionsDeb_PaymentOrder,Cred_Deb_Ratio,Trans_Cred_Deb_Ratio,ActBal_CA_SA_Ratio,Count_CA_Missing,VolumeDeb_Missing,ActBal_CA_Missing,ActBal_MF_Missing,ActBal_OVD_Missing,Sex_M,Age_Bin_25-45,Age_Bin_45-65,Age_Bin_65 & Above,Tenure_Bin_Medium-Low,Tenure_Bin_Medium-High,Tenure_Bin_High,Client,Sale_CC,Revenue_CC
0.0,0.0,0.0,0.0,7.196538887270493,0.0,0.0,0.0,0.0,0.0,7.185158363683988,1.3862943611198906,2.5649493574615367,2.302585092994046,0.887695865887058,0.5,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0
1.0,0.0,0.0,0.0,4.716430406710753,9.497561615262512,0.0,0.0,0.0,0.0,6.559524177115077,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.8324304095411368,0.6666666666666666,0.008312095835917506,0,0,0,1,1,1,1,0,0,0,0,1,2,0.0,0.0
0.0,1.0,0.0,0.0,6.181371104293014,0.0,4.684459862820444,0.0,0.0,0.0,7.382839506976117,0.0,0.6931471805599453,0.6931471805599453,12.987067822222222,1.3333333333333333,0.0,0,0,0,0,1,1,0,0,0,0,1,0,3,,
1.0,0.0,1.0,0.0,7.37828421647933,4.349466547401325,0.0,7.0133593723724985,0.0,0.0,7.5085621688978454,1.9459101490553132,2.5649493574615367,2.6390573296152584,0.5180122736097058,0.21951219512195122,20.93014801626247,0,0,0,1,1,1,0,0,0,0,0,1,4,,
1.0,0.0,0.0,0.0,8.585689606435734,8.997235726057648,0.0,0.0,0.0,0.0,7.994730234799065,1.6094379124341003,2.8903717578961645,2.6390573296152584,0.7451313286579838,0.5227272727272727,0.6625832044713944,0,0,0,1,1,0,0,1,0,0,0,1,5,,
0.0,0.0,0.0,1.0,1.6671675916153723,0.0,0.0,0.0,7.592401968018754,0.0,6.107978523849631,0.6931471805599453,0.0,0.0,1.1486313032367834,0.375,0.0,0,0,0,1,1,0,0,0,0,0,0,0,6,0.0,0.0
0.0,0.0,0.0,0.0,6.780700013759931,0.0,0.0,0.0,0.0,0.0,5.962305120572842,0.6931471805599453,1.9459101490553132,0.6931471805599453,3.912452267340429,0.2,0.0,0,0,0,1,1,0,0,1,0,0,0,1,7,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792919962841,6.130375195496084,2.3978952727983707,0.6931471805599453,0.0,0.9914099093102711,0.5952380952380952,0.0,0,0,0,1,0,0,0,1,0,0,0,0,8,0.0,0.0
0.0,0.0,0.0,0.0,6.236695229154103,0.0,0.0,0.0,0.0,0.0,5.9422508556885445,0.6931471805599453,0.0,1.3862943611198906,1.2688925375007472,0.6,0.0,0,0,0,1,0,0,1,0,0,0,0,1,9,,
1.0,0.0,0.0,0.0,5.539139442220741,4.768217904102519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027599999835584,1.0,2.171711762948439,0,0,0,1,1,0,1,0,0,1,0,0,10,,
